日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/07/12,24155935,10932798847,458.0,458.0,449.5,449.5,-12.5,34431
111/07/13,48134139,22639696871,470.5,473.0,466.0,470.5,21.0,48964
111/07/14,34014188,16045789881,466.0,477.5,463.0,475.0,4.5,36454
111/07/15,56039339,27285128552,481.0,494.0,477.0,492.5,17.5,63691
111/07/18,40797601,20142703483,495.5,498.5,488.5,495.5,3.0,42574
111/07/19,20554247,10063256350,487.5,493.0,486.5,491.0,-4.5,25035
111/07/20,36862724,18330197370,502.0,503.0,491.5,495.0,4.0,40233
111/07/21,23893063,11887266420,496.0,501.0,494.0,501.0,6.0,23039
111/07/22,26904474,13525083791,505.0,505.0,500.0,503.0,2.0,26122
111/07/25,16803972,8402110298,500.0,503.0,498.0,499.5,-3.5,17230
111/07/26,19524143,9665183112,499.5,499.5,491.0,495.0,-4.5,29293
111/07/27,18411136,9144660659,494.0,502.0,491.0,502.0,7.0,20351
111/07/28,35020547,17665645632,509.0,509.0,499.0,501.0,-1.0,31274
111/07/29,30632627,15571856556,508.0,510.0,504.0,509.0,8.0,24762
111/08/01,24991291,12569771761,506.0,508.0,500.0,504.0,-5.0,26792
111/08/02,42669591,20973293337,494.0,496.0,488.5,492.0,-12.0,63879
111/08/03,29838832,14823224632,494.0,501.0,493.0,501.0,9.0,25570
111/08/04,26589086,13279624282,499.0,503.0,495.0,500.0,-1.0,27173
111/08/05,35052642,17966410242,509.0,516.0,507.0,516.0,16.0,49928
111/08/08,20568971,10531710250,510.0,515.0,509.0,512.0,-4.0,18131
111/08/09,24370709,12372442661,507.0,511.0,504.0,510.0,-2.0,25433
111/08/10,22112239,11075581424,500.0,503.0,499.5,500.0,-10.0,35188
111/08/11,24906177,12771121611,513.0,514.0,510.0,514.0,14.0,23949
111/08/12,21343450,11016097043,515.0,518.0,514.0,517.0,3.0,21701
111/08/15,22519886,11755494600,520.0,524.0,519.0,523.0,6.0,27372
111/08/16,21234122,11141160337,526.0,526.0,523.0,525.0,2.0,20628
111/08/17,28461939,14943047011,524.0,527.0,521.0,527.0,2.0,26466
111/08/18,18721898,9734756997,520.0,521.0,519.0,520.0,-7.0,24209
111/08/19,14235983,7403584002,519.0,523.0,517.0,519.0,-1.0,14069
111/08/22,23175820,11849427903,511.0,514.0,510.0,510.0,-9.0,32130
111/08/23,20997847,10580935860,503.0,506.0,502.0,504.0,-6.0,34243
111/08/24,14995494,7560487746,504.0,508.0,503.0,503.0,-1.0,20031
111/08/25,10254367,5208471523,505.0,510.0,504.0,508.0,5.0,11664
111/08/26,13268148,6805419690,513.0,515.0,511.0,512.0,4.0,14862
111/08/29,28217313,14055439771,497.0,502.0,496.0,498.5,-13.5,60889
111/08/30,25699463,12787938496,497.5,500.0,496.0,496.0,-2.5,43669
111/08/31,50999514,25630339779,492.0,505.0,492.0,505.0,9.0,24054
111/09/01,42008490,20696930527,495.0,495.5,490.0,490.5,-14.50,93631
111/09/02,33877655,16486942365,488.0,489.5,485.0,485.0,-5.50,71175
111/09/05,17327720,8419762666,485.0,488.0,484.0,486.0,+1.00,27611
111/09/06,21197718,10364807027,488.5,491.5,486.5,489.0,+3.00,18950
111/09/07,38168331,18125281029,477.0,478.0,472.0,472.5,-16.50,101077
111/09/08,35355467,16755699888,473.0,475.0,472.0,475.0,+2.50,37943
111/09/12,27181969,13268334545,485.0,491.0,485.0,486.5,+11.50,26764
111/09/13,18916557,9329113594,495.0,495.0,491.0,493.0,+6.50,20511
111/09/14,25046110,12023421519,478.5,482.5,476.0,480.0,-13.00,47333
111/09/15,24272164,11587112712,476.0,480.0,476.0,476.5,X0.00,35435
111/09/16,41889816,19737743551,470.5,472.0,469.0,472.0,-4.50,51619
